Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[56/100] | Loss:0.0014 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9991 | C 1:0.9986 | C 2:0.9984| C 3:0.9984| C 4:0.9984| C 5:0.9985| C 6:0.9989| C 7:0.9986| C 8:0.9981| C 9:0.9985| C 10:nan| C 11:nan
Epoch[57/100] | Loss:0.0014 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9991 | C 1:0.9987 | C 2:0.9985| C 3:0.9984| C 4:0.9985| C 5:0.9986| C 6:0.9989| C 7:0.9987| C 8:0.9982| C 9:0.9985| C 10:nan| C 11:nan
Epoch[58/100] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9992 | C 1:0.9988 | C 2:0.9986| C 3:0.9985| C 4:0.9986| C 5:0.9987| C 6:0.9990| C 7:0.9988| C 8:0.9983| C 9:0.9986| C 10:nan| C 11:nan
Epoch[59/100] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9992 | C 1:0.9988 | C 2:0.9986| C 3:0.9986| C 4:0.9986| C 5:0.9987| C 6:0.9990| C 7:0.9988| C 8:0.9984| C 9:0.9987| C 10:nan| C 11:nan
Epoch[60/100] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9992 | C 1:0.9989 | C 2:0.9987| C 3:0.9986| C 4:0.9987| C 5:0.9988| C 6:0.9991| C 7:0.9989| C 8:0.9985| C 9:0.9987| C 10:nan| C 11:nan
Epoch[61/100] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9989 | C 2:0.9987| C 3:0.9987| C 4:0.9988| C 5:0.9988| C 6:0.9991| C 7:0.9989| C 8:0.9985| C 9:0.9988| C 10:nan| C 11:nan
Epoch[62/100] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9990 | C 2:0.9988| C 3:0.9988| C 4:0.9988| C 5:0.9989| C 6:0.9991| C 7:0.9990| C 8:0.9986| C 9:0.9989| C 10:nan| C 11:nan
Epoch[63/100] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9990 | C 2:0.9989| C 3:0.9988| C 4:0.9989| C 5:0.9989| C 6:0.9992| C 7:0.9990| C 8:0.9987| C 9:0.9989| C 10:nan| C 11:nan
Epoch[64/100] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9994 | C 1:0.9991 | C 2:0.9989| C 3:0.9989| C 4:0.9989| C 5:0.9990| C 6:0.9992| C 7:0.9991| C 8:0.9987| C 9:0.9990| C 10:nan| C 11:nan
Epoch[65/100] | Loss:0.0009 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9994 | C 1:0.9991 | C 2:0.9990| C 3:0.9989| C 4:0.9990| C 5:0.9990| C 6:0.9993| C 7:0.9991| C 8:0.9988| C 9:0.9990| C 10:nan| C 11:nan
Epoch[66/100] | Loss:0.0009 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9994 | C 1:0.9992 | C 2:0.9990| C 3:0.9990| C 4:0.9990| C 5:0.9991| C 6:0.9993| C 7:0.9991| C 8:0.9988| C 9:0.9990| C 10:nan| C 11:nan
Epoch[67/100] | Loss:0.0008 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9995 | C 1:0.9992 | C 2:0.9991| C 3:0.9990| C 4:0.9991| C 5:0.9991| C 6:0.9993| C 7:0.9992| C 8:0.9989| C 9:0.9991| C 10:nan| C 11:nan
Epoch[68/100] | Loss:0.0008 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9995 | C 1:0.9992 | C 2:0.9991| C 3:0.9991| C 4:0.9991| C 5:0.9992| C 6:0.9994| C 7:0.9992| C 8:0.9989| C 9:0.9991| C 10:nan| C 11:nan
Epoch[69/100] | Loss:0.0008 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9995 | C 1:0.9993 | C 2:0.9991| C 3:0.9991| C 4:0.9991| C 5:0.9992| C 6:0.9994| C 7:0.9993| C 8:0.9990| C 9:0.9992| C 10:nan| C 11:nan
Epoch[70/100] | Loss:0.0007 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9995 | C 1:0.9993 | C 2:0.9992| C 3:0.9992| C 4:0.9992| C 5:0.9992| C 6:0.9994| C 7:0.9993| C 8:0.9990| C 9:0.9992| C 10:nan| C 11:nan
Epoch[71/100] | Loss:0.0007 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9995 | C 1:0.9993 | C 2:0.9992| C 3:0.9992| C 4:0.9992| C 5:0.9993| C 6:0.9994| C 7:0.9993| C 8:0.9991| C 9:0.9992| C 10:nan| C 11:nan
Epoch[72/100] | Loss:0.0007 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9996 | C 1:0.9994 | C 2:0.9992| C 3:0.9992| C 4:0.9993| C 5:0.9993| C 6:0.9995| C 7:0.9994| C 8:0.9991| C 9:0.9993| C 10:nan| C 11:nan
Epoch[73/100] | Loss:0.0006 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9996 | C 1:0.9994 | C 2:0.9993| C 3:0.9993| C 4:0.9993| C 5:0.9993| C 6:0.9995| C 7:0.9994| C 8:0.9991| C 9:0.9993| C 10:nan| C 11:nan
